Grade,CourseNumber,ID,Bonus,FinalGrade
95,022,3972323,0,95
35,010,131854,0,35
75,013,1324561,0,75
85,015,1324561,0,85
75,016,1324561,0,75
80,018,1324561,0,80
100,020,1324561,0,100
100,022,1324561,0,100
85,028,1324561,0,85
80,007,1324561,0,80
65,007,6918522,0,65
80,006,3755002,0,80
75,010,3755002,0,75
60,003,5041200,0,60
75,006,5041200,0,75
60,010,5041200,0,60
95,014,5041200,0,95
91,016,5041200,0,91
90,018,5041200,0,90
100,020,5041200,0,100
85,022,5041200,0,85
100,028,5041200,0,100
95,007,5041200,0,95
35,010,2656533,0,35
75,006,851588244,0,75
85,018,851588244,0,85
100,022,851588244,0,100
95,003,4310631,0,95
100,006,4310631,0,100
80,010,4310631,0,80
90,013,4310631,0,90
105,014,4310631,0,100
75,015,4310631,0,75
91,016,4310631,0,91
85,018,4310631,0,85
100,020,4310631,0,100
85,022,4310631,0,85
100,028,4310631,0,100
95,007,4310631,0,95
85,018,5254534,0,85
100,022,5254534,0,100
60,013,992035,0,60
90,014,992035,0,90
70,018,992035,0,70
90,022,992035,0,90
75,028,992035,0,75
75,007,992035,0,75
90,006,0769464,0,90
65,010,0769464,0,65
70,013,596792,0,70
70,015,596792,0,70
80,018,596792,0,80
100,020,596792,0,100
75,022,596792,0,75
75,007,596792,0,75
85,003,6579465,0,85
75,006,6579465,0,75
60,010,6579465,0,60
90,013,6579465,0,90
95,014,6579465,0,95
80,015,6579465,0,80
75,016,6579465,0,75
80,018,6579465,0,80
100,020,6579465,0,100
75,022,6579465,0,75
75,028,6579465,0,75
75,003,5214270,0,75
85,006,5214270,0,85
45,010,5214270,0,45
80,013,5214270,0,80
105,014,5214270,0,100
70,015,5214270,0,70
66,016,5214270,0,66
70,018,5214270,0,70
90,022,5214270,0,90
95,028,5214270,0,95
65,007,5214270,0,65
60,003,313737,0,60
45,006,313737,0,45
75,007,313737,0,75
55,010,313737,0,55
80,013,313737,0,80
100,014,313737,0,100
75,015,313737,0,75
70,016,313737,0,70
80,018,313737,0,80
90,022,313737,0,90
80,028,313737,0,80
80,003,4218483,0,80
60,006,4218483,0,60
50,010,4218483,0,50
90,014,4218483,0,90
90,003,5708981,0,90
100,006,5708981,0,100
100,010,5708981,0,100
95,013,5708981,0,95
105,014,5708981,0,100
90,015,5708981,0,90
86,016,5708981,0,86
90,018,5708981,0,90
100,022,5708981,0,100
100,028,5708981,0,100
100,020,5708981,0,100
95,007,5708981,0,95
75,006,5648105,0,75
75,006,0586140037,0,75
75,028,1245628,0,75
85,007,1245628,0,85
95,007,8239375,0,95
90,006,3854706,0,90
95,010,3854706,0,95
45,003,9749999,0,45
40,010,9749999,0,40
95,014,9749999,0,95
85,006,8351543,0,85
70,010,8351543,0,70
85,007,8351543,0,85
80,006,5388018,0,80
60,010,5388018,0,60
65,013,5388018,0,65
80,007,5388018,0,80
85,006,772286,0,85
100,013,2466059,0,100
100,015,2466059,0,100
101,016,2466059,0,100
100,018,2466059,0,100
100,020,2466059,0,100
100,022,2466059,0,100
100,028,2466059,0,100
100,007,2466059,0,100
90,003,1564828,0,90
100,006,1564828,0,100
95,010,1564828,0,95
95,013,1564828,0,95
95,014,1564828,0,95
100,015,1564828,0,100
96,016,1564828,0,96
100,018,1564828,0,100
100,020,1564828,0,100
100,022,1564828,0,100
100,028,1564828,0,100
95,007,1564828,0,95
90,028,2429533,0,90
80,007,2429533,0,80
65,006,315228528,0,65
35,018,0276347,0,35
100,013,0896272,0,100
90,015,0896272,0,90
100,018,0896272,0,100
95,022,0896272,0,95
75,003,2522528,0,75
70,006,2522528,0,70
65,010,2522528,0,65
85,013,2522528,0,85
95,014,2522528,0,95
70,015,2522528,0,70
81,016,2522528,0,81
60,018,2522528,0,60
100,020,2522528,0,100
90,022,2522528,0,90
85,028,2522528,0,85
80,007,2522528,0,80
95,006,4183206,0,95
80,010,4183206,0,80
75,022,4288018,0,75
80,007,4288018,0,80
100,006,6604365,0,100
95,010,6604365,0,95
95,007,6604365,0,95
95,006,1411814,0,95
80,010,1411814,0,80
90,022,308416247,0,90
80,007,7644270,0,80
80,003,7644270,0,80
80,006,7644270,0,80
75,010,7644270,0,75
85,013,7644270,0,85
105,014,7644270,0,100
75,015,7644270,0,75
85,016,7644270,0,85
85,018,7644270,0,85
100,020,7644270,0,100
80,022,7644270,0,80
80,028,7644270,0,80
56,016,1245966,0,56
100,020,1245966,0,100
75,028,1245966,0,75
85,007,1245966,0,85
80,003,6485222,0,80
90,006,6485222,0,90
75,010,6485222,0,75
55,013,6485222,0,55
100,014,6485222,0,100
70,015,6485222,0,70
85,018,6485222,0,85
100,022,6485222,0,100
90,028,6485222,0,90
60,016,8071530,0,60
100,020,8071530,0,100
55,028,8071530,0,55
65,007,8071530,0,65
90,006,2522195,0,90
90,010,2522195,0,90
90,013,2522195,0,90
85,015,2522195,0,85
86,016,2522195,0,86
100,018,2522195,0,100
100,020,2522195,0,100
95,022,2522195,0,95
95,028,2522195,0,95
90,014,2522195,0,90
80,013,323042465,0,80
90,018,323042465,0,90
95,022,323042465,0,95
70,022,4476251,0,70
60,006,6889368,0,60
75,007,4476251,0,75
85,007,3466198,0,85
60,029,2522528,0,60
40,029,313737,0,40
80,029,4310631,0,80
70,029,5388018,0,70
65,029,1324561,0,65
100,029,2466059,0,100
65,029,7644270,0,65
65,029,1564828,0,65
75,029,5041200,0,75
50,029,596792,0,50
85,029,5708981,0,85
80,029,6604365,0,80
58,030,534894,0,58
98,030,313737,0,98
78,030,906297015,0,78
81,030,4310631,0,81
68,030,1324561,0,68
100,030,2466059,0,100
83,030,2522528,0,83
76,030,5214270,0,76
73,030,1245628,0,73
81,030,5041200,0,81
28,030,8071530,0,28
70,030,596792,0,70
81,030,5388018,0,81
60,030,992035,0,60
93,030,1564828,0,93
96,030,6604365,0,96
65,015,5041200,0,65
85,003,2522195,0,85
95,026,4138994,0,95
100,026,0769464,0,100
85,019,6604365,0,85
